ric,ticker,isin,exchange_name,coverage_role
IRMD.OQ,IRMD,US46266A1097,NASDAQ Stock Exchange Global Market
IRON.OQ,IRON,US2546041011,NASDAQ Stock Exchange Global Market
IRT.N,IRT,US45378A1060,New York Stock Exchange
IRTC.OQ,IRTC,US4500561067,Nasdaq Stock Exchange Global Select Market
IRWD.OQ,IRWD,US46333X1081,Nasdaq Stock Exchange Global Select Market
ISCA.OQ,ISCA,,
ISE.B,ISE,,
ISEE.O^G23,ISEE,US46583P1021,Consolidated Issue Listed on Nasdaq Global Select Market
ISH.N,ISH,,
ISIL.OQ,ISIL,,
ISLE.OQ,ISLE,,
ISPR.OQ,ISPR,US46501C1009,NASDAQ Stock Exchange Capital Market
ISRG.OQ,ISRG,US46120E6023,Nasdaq Stock Exchange Global Select Market
ISSC.OQ,ISSC,US45769N1054,Nasdaq Stock Exchange Global Select Market
ISSI.OQ,ISSI,,
ISTR.OQ,ISTR,US46134L1052,NASDAQ Stock Exchange Global Market
IT.N,IT,US3666511072,New York Stock Exchange
ITGR.N,ITGR,US45826H1095,New York Stock Exchange
ITIC.OQ,ITIC,US4618041069,Nasdaq Stock Exchange Global Select Market
ITMN.O,ITMN,,
ITMN.OQ,ITMN,,
ITRI.OQ,ITRI,US4657411066,Nasdaq Stock Exchange Global Select Market
ITT.II,ITT,,
ITT.N,ITT,US45073V1089,New York Stock Exchange
ITW.II,ITW,,
ITW.N,ITW,US4523081093,New York Stock Exchange
IUSA.OQ,IUSA,,
IVR.N,IVR,US46131B7047,New York Stock Exchange
IVT.N,IVT,US46124J2015,New York Stock Exchange
IVVD.O,IVVD,US00534A1025,NASDAQ National Market System
IVZ.N,IVZ,BMG491BT1088,New York Stock Exchange
IWA.C,IWA,,
IWOV.O,IWOV,,
JACK.OQ,JACK,US4663671091,Nasdaq Stock Exchange Global Select Market
JAH.N,JAH,,
JAKK.OQ,JAKK,US47012E4035,Nasdaq Stock Exchange Global Select Market
JANX.OQ,JANX,US47103J1051,NASDAQ Stock Exchange Global Market
JAS.B,JAS,,
JAV.PH,JAV,,
JAVA.MW,JAVA,US46641Q1673,Chicago Stock Exchange
JAZZ.OQ,JAZZ,IE00B4Q5ZN47,Nasdaq Stock Exchange Global Select Market
JBGS.N,JBGS,US46590V1008,New York Stock Exchange
JBHT.OQ,JBHT,US4456581077,Nasdaq Stock Exchange Global Select Market
JBI.N,JBI,US47103N1063,New York Stock Exchange
JBIO.OQ,JBIO,US0080642061,NASDAQ Stock Exchange Capital Market
JBL.N,JBL,US4663131039,New York Stock Exchange
JBLU.OQ,JBLU,US4771431016,Nasdaq Stock Exchange Global Select Market
JBSS.OQ,JBSS,US8004221078,Nasdaq Stock Exchange Global Select Market
JBTM.N,JBTM,US4778391049,New York Stock Exchange
JBXW.B,JBXW,,
JCAP.N,JCAP,US47248R1032,New York Stock Exchange
JCG.PH,JCG,,
JCG^C11,JCG,US46612H4020,New York Consolidated
JCI.II,JCI,,
JCI.N,JCI,IE00BY7QL619,New York Stock Exchange
JCP.II,JCP,,
JCP.N,JCP,,
JD.OQ,JD,US47215P1066,Nasdaq Stock Exchange Global Select Market
JEF.N,JEF,US47233W1099,New York Stock Exchange
JELD.N,JELD,US47580P1030,New York Stock Exchange
JGW.N,JGW,,
JHG.N,JHG,JE00BYPZJM29,New York Stock Exchange
JILL.N,JILL,US46620W2017,New York Stock Exchange
JIVE.OQ,JIVE,US46654Q7575,NASDAQ Stock Exchange Global Market
JJSF.OQ,JJSF,US4660321096,Nasdaq Stock Exchange Global Select Market
JKHY.OQ,JKHY,US4262811015,Nasdaq Stock Exchange Global Select Market
JLL.N,JLL,US48020Q1076,New York Stock Exchange
JMG.N,JMG,VGG5146R1073,New York Stock Exchange
JMSB.OQ,JMSB,US47805L1017,NASDAQ Stock Exchange Capital Market
JNJ.N,JNJ,US4781601046,New York Stock Exchange
JNPR.MX,JNPR*,US48203R1041,Bolsa Mexicana de Valores S.A. de C.V.
JNPR.OQ,JNPR,,
JNS.II,JNS,,
JNS.N,JNS,,
JNY.II,JNY,,
JNY.N,JNY,,
JOBY.N,JOBY,KYG651631007,New York Stock Exchange
JOE.N,JOE,US7901481009,New York Stock Exchange
JONE.N,JONE,,
JOSB.OQ,JOSB,,
JOSB.P,JOSB,,
JOUT.OQ,JOUT,US4791671088,Nasdaq Stock Exchange Global Select Market
JOY.N,JOY,,
JOY^D17,JOY^D17,US4811651086,New York Consolidated
JPM.N,JPM,US46625H1005,New York Stock Exchange
JRN.B,JRN,,
JRN.N,JRN,,
JRT.N,JRT,,
JRVR.OQ,JRVR,US46990A1025,Nasdaq Stock Exchange Global Select Market
JSDA.II,JSDA,,
JWN.MX,JWN*,US6556641008,Bolsa Mexicana de Valores S.A. de C.V.
JXN.N,JXN,US46817M1071,New York Stock Exchange
JYNT.OQ,JYNT,US47973J1025,NASDAQ Stock Exchange Capital Market
K.II,K,,
K.MX,K*,US4878361082,Bolsa Mexicana de Valores S.A. de C.V.
KAI.N,KAI,US48282T1043,New York Stock Exchange
KALA.OQ,KALA,US4831192020,NASDAQ Stock Exchange Capital Market
KALU.OQ,KALU,US4830077040,Nasdaq Stock Exchange Global Select Market
KALV.OQ,KALV,US4834971032,NASDAQ Stock Exchange Global Market
KATE.N,KATE,,
KBH.N,KBH,US48666K1097,New York Stock Exchange
KBR.N,KBR,US48242W1062,New York Stock Exchange
KCG.N,KCG,,New York Stock Exchange
KCI^K11,KCI,US49460W2089,New York Consolidated
KCLI.OQ,KCLI,,
KCP.B,KCP,,
KCP.N,KCP,,
KD.N,KD,US50155Q1004,New York Stock Exchange
KDN.B,KDN,,
KDN.N,KDN,,
KDP.OQ,KDP,US49271V1008,Nasdaq Stock Exchange Global Select Market
KDX.TO,KDX,,
KE.OQ,KE,US49428J1097,Nasdaq Stock Exchange Global Select Market
KED.N,KED,,
KEG.N,KEG,,
KEI.TO,KEI,CA50043K4063,The Toronto Stock Exchange
KELYA.OQ,KELYA,US4881522084,Nasdaq Stock Exchange Global Select Market
KEM.B,KEM,US5007674394,
KERX.O,KERX,,
KERX.OQ,KERX,,
KEX.N,KEX,US4972661064,New York Stock Exchange
KEY.II,KEY,,
KEY.N,KEY,US4932671088,New York Stock Exchange
KEYN.O,KEYN,,
KEYN.OQ,KEYN,,
KEYS.N,KEYS,US49338L1035,New York Stock Exchange
KEYS.OQ,KEYS,,
KEYW.OQ,KEYW,,
KFED.O,KFED,,
KFRC.N,KFRC,US4937321010,New York Stock Exchange
KFS.N,KFS,US4969042021,New York Stock Exchange
KFY.N,KFY,US5006432000,New York Stock Exchange
KG.II,KG,,
KG.OQ,KG,BMG5260K1027,NASDAQ Stock Exchange Capital Market
KGS.N,KGS,US50012A1088,New York Stock Exchange
KHC.OQ,KHC,US5007541064,Nasdaq Stock Exchange Global Select Market
KIDS.OQ,KIDS,US68752L1008,NASDAQ Stock Exchange Global Market
KIM.N,KIM,US49446R1095,New York Stock Exchange
KINS.OQ,KINS,US4967191051,NASDAQ Stock Exchange Capital Market
KIOR.OQ,KIOR,,
KITE.OQ,KITE,,
KKD.II,KKD,,
KKD.N,KKD,,
KKR.N,KKR,US48251W1045,New York Stock Exchange
KLAC.OQ,KLAC,US4824801009,Nasdaq Stock Exchange Global Select Market
KLC.N,KLC,US49456W1053,New York Stock Exchange
KLDO.PK,KLDO,US4833471000,USA Pink Sheets
KLIC.OQ,KLIC,US5012421013,Nasdaq Stock Exchange Global Select Market
KLICDE.INS,KLICDE,,
KLTR.OQ,KLTR,US4834671061,Nasdaq Stock Exchange Global Select Market
KLXE.OQ,KLXE,US48253L2051,Nasdaq Stock Exchange Global Select Market
KLXIN.BCU,KLXIN,US4825391034,BATS Europe
KMB.O,KMB,US4943681035,Consolidated Issue Listed on Nasdaq Global Select Market
KMI.N,KMI,US49456B1017,New York Stock Exchange
KMPR.N,KMPR,US4884011002,New York Stock Exchange
KMRT.F^C05,KMRT,US8123501061,Frankfurt Stock Exchange
KMT.N,KMT,US4891701009,New York Stock Exchange
KMTS.OQ,KMTS,BMG524411052,Nasdaq Stock Exchange Global Select Market
KMX.N,KMX,US1431301027,New York Stock Exchange
KN.N,KN,US49926D1090,New York Stock Exchange
KNBT.O,KNBT,,
KND.PH,KND,,
KND^G18,KND^G18,US4945801037,New York Consolidated
KNF.N,KNF,US4988941047,New York Stock Exchange
KNSA.OQ,KNSA,GB00BRXB0C07,Nasdaq Stock Exchange Global Select Market
KNSL.N,KNSL,US49714P1084,New York Stock Exchange
KNTK.N,KNTK,US02215L2097,New York Stock Exchange
KNX.N,KNX,US4990491049,New York Stock Exchange
KO.N,KO,US1912161007,New York Stock Exchange
KO.W,KO,,
KOD.OQ,KOD,US50015M1099,NASDAQ Stock Exchange Global Market
KODK.N,KODK,US2774614067,New York Stock Exchange
KOG.N,KOG,,
KOMG.OQ,KOMG,,
KOP.N,KOP,US50060P1066,New York Stock Exchange
KOPN.OQ,KOPN,US5006001011,NASDAQ Stock Exchange Capital Market
KOS.N,KOS,US5006881065,New York Stock Exchange
KOSN.O,KOSN,,
KPA.B,KPA,,
KPTI.OQ,KPTI,US48576U2050,Nasdaq Stock Exchange Global Select Market
KR.N,KR,US5010441013,New York Stock Exchange
KRC.N,KRC,US49427F1084,New York Stock Exchange
KREF.N,KREF,US48251K1007,New York Stock Exchange
KRG.N,KRG,US49803T3005,New York Stock Exchange
KRMD.OQ,KRMD,US7599101026,NASDAQ Stock Exchange Capital Market
KRNY.OQ,KRNY,US48716P1084,Nasdaq Stock Exchange Global Select Market
KRO.N,KRO,US50105F1057,New York Stock Exchange
KROS.OQ,KROS,US4923271013,NASDAQ Stock Exchange Global Market
KRRO.OQ,KRRO,US5009461089,NASDAQ Stock Exchange Capital Market
KRT.OQ,KRT,US48563L1017,Nasdaq Stock Exchange Global Select Market
KRTX.MX,KRTX*,US48576A1007,Bolsa Mexicana de Valores S.A. de C.V.
KRUS.OQ,KRUS,US5012701026,NASDAQ Stock Exchange Global Market
KRYS.OQ,KRYS,US5011471027,Nasdaq Stock Exchange Global Select Market
KS.N,KS,,
KSS.II,KSS,,
KSS.N,KSS,US5002551043,New York Stock Exchange
KSU^L21,KSU^L21,US4851703029,New York Consolidated
KTB.N,KTB,US50050N1037,New York Stock Exchange
KTCC.OQ,KTCC,US4931441095,NASDAQ Stock Exchange Global Market
KTO.B,KTO,,
KTOS.OQ,KTOS,US50077B2079,Nasdaq Stock Exchange Global Select Market
KULR.A,KULR,US50125G3074,American Stock Exchange
KURA.OQ,KURA,US50127T1097,Nasdaq Stock Exchange Global Select Market
KVHI.OQ,KVHI,US4827381017,Nasdaq Stock Exchange Global Select Market
KW.N,KW,US4893981070,New York Stock Exchange
KWD.B,KWD,,
KWK.N,KWK,,
KWR.N,KWR,US7473161070,New York Stock Exchange
KYG7T16G1039.TRE,KYG7T16G1039,KYG7T16G1039,London Stock Exchange
KYMR.OQ,KYMR,US5015751044,NASDAQ Stock Exchange Global Market
KYPH.OQ,KYPH,,
KZR.OQ,KZR,US49372L2097,NASDAQ Stock Exchange Capital Market
L.N,L,US5404241086,New York Stock Exchange
LAB.OQ,LAB,US34385P1084,Nasdaq Stock Exchange Global Select Market
LAD.N,LAD,US5367971034,New York Stock Exchange
LADR.N,LADR,US5057431042,New York Stock Exchange
LAKE.OQ,LAKE,US5117951062,NASDAQ Stock Exchange Global Market
LAMR.OQ,LAMR,US5128161099,Nasdaq Stock Exchange Global Select Market
LAND.OQ,LAND,US3765491010,NASDAQ Stock Exchange Global Market
LARK.OQ,LARK,US51504L1070,NASDAQ Stock Exchange Global Market
LASR.OQ,LASR,US65487K1007,Nasdaq Stock Exchange Global Select Market
LAUR.OQ,LAUR,US5186132032,Nasdaq Stock Exchange Global Select Market
LAW.N,LAW,US1263271058,New York Stock Exchange
LAZ.N,LAZ,US52110M1099,New York Stock Exchange
LB.N,LB,US5149521008,New York Stock Exchange
LBRDK.OQ,LBRDK,US5303073051,Nasdaq Stock Exchange Global Select Market
LBRT.N,LBRT,US53115L1044,New York Stock Exchange
LBRX.OQ,LBRX,US50180M1080,NASDAQ Stock Exchange Global Market
LBTYA.OQ,LBTYA,BMG611881019,Nasdaq Stock Exchange Global Select Market
LBTYK.OQ,LBTYK,BMG611881274,Nasdaq Stock Exchange Global Select Market
LBY.A,LBY,,
LBY.B,LBY,,
LC.N,LC,US52603A2087,New York Stock Exchange
LCAV.OQ,LCAV,,
LCC.N,LCC,,
LCII.N,LCII,US50189K1034,New York Stock Exchange
LCNB.OQ,LCNB,US50181P1003,NASDAQ Stock Exchange Capital Market
LCTX.A,LCTX,US53566P1093,American Stock Exchange
LCUT.OQ,LCUT,US53222Q1031,Nasdaq Stock Exchange Global Select Market
LDG.B,LDG,,
LDI.N,LDI,US53946R1068,New York Stock Exchange
LDOS.N,LDOS,US5253271028,New York Stock Exchange
LDR.B,LDR,,
LDR.N,LDR,,
LDRH.OQ,LDRH,,
LE.OQ,LE,US51509F1057,NASDAQ Stock Exchange Capital Market
LEA.N,LEA,US5218652049,New York Stock Exchange
LEAP.OQ,LEAP,,
LECO.OQ,LECO,US5339001068,Nasdaq Stock Exchange Global Select Market
LEDR.OQ,LEDR,,
LEG.II,LEG,,
LEG.N,LEG,US5246601075,New York Stock Exchange
LEGH.OQ,LEGH,US52472M1018,Nasdaq Stock Exchange Global Select Market
LEH.N,LEH,,
LEN.II,LEN,,
LEN.N,LEN,US5260571048,New York Stock Exchange
LEND.OQ,LEND,,
LENZ.OQ,LENZ,US52635N1037,Nasdaq Stock Exchange Global Select Market
LEU.N,LEU,US15643U1043,New York Stock Exchange
LF.N,LF,,
LF.PH,LF,,
LFCR.OQ,LFCR,US5147661046,Nasdaq Stock Exchange Global Select Market
LFG.B,LFG,,
LFMD.OQ,LFMD,US53216B1044,NASDAQ Stock Exchange Global Market
LFST.OQ,LFST,US53228F1012,Nasdaq Stock Exchange Global Select Market
LFT.N,LFT,US55025L1089,New York Stock Exchange
LFUS.OQ,LFUS,US5370081045,Nasdaq Stock Exchange Global Select Market
LFVN.OQ,LFVN,US53222K2050,NASDAQ Stock Exchange Capital Market
LGFB.N^E25,LGFB,CA5359195008,New York Stock Exchange
LGIH.OQ,LGIH,US50187T1060,Nasdaq Stock Exchange Global Select Market
LGN.OQ,LGN,US52476L1098,Nasdaq Stock Exchange Global Select Market
LGND.OQ,LGND,US53220K5048,NASDAQ Stock Exchange Global Market
LGNDDE.INS,LGNDDE,,
LH.II,LH,,
LH.N,LH,US5049221055,New York Stock Exchange
LHO.C,LHO,,
LHO^L18,LHO^L18,US5179421087,New York Consolidated
LIF.OQ,LIF,US5322061095,Nasdaq Stock Exchange Global Select Market
LIFC.OQ,LIFC,,
LIFE.OQ,LIFE,US29765A1016,Nasdaq Stock Exchange Global Select Market
LII.N,LII,US5261071071,New York Stock Exchange
LILA.OQ,LILA,BMG9001E1021,Nasdaq Stock Exchange Global Select Market
LILAK.OQ,LILAK,BMG9001E1286,Nasdaq Stock Exchange Global Select Market
LIN.OQ,LIN,IE000S9YS762,Nasdaq Stock Exchange Global Select Market
LINC.OQ,LINC,US5335351004,Nasdaq Stock Exchange Global Select Market
LIND.OQ,LIND,US5352191093,NASDAQ Stock Exchange Capital Market
LION.N,LION,CA53626N1024,New York Stock Exchange
LIOX.O,LIOX,,
LIOX.OQ,LIOX,,
LITE.OQ,LITE,US55024U1097,Nasdaq Stock Exchange Global Select Market
LIVN.L,LIVN,,
LIVN.OQ,LIVN,GB00BYMT0J19,Nasdaq Stock Exchange Global Select Market
LIZ.II,LIZ,,
LKFN.OQ,LKFN,US5116561003,Nasdaq Stock Exchange Global Select Market
LKQ.OQ,LKQ,US5018892084,Nasdaq Stock Exchange Global Select Market
LLEX.A,LLEX,,
LLL.II,LLL,,
LLTC.O^C17,LLTC,US5356781063,Consolidated Issue Listed on Nasdaq Global Select Market
LLY.N,LLY,US5324571083,New York Stock Exchange
LM.II,LM,,
LM.N,LM,,
LMAT.OQ,LMAT,US5255582018,NASDAQ Stock Exchange Global Market
LMB.OQ,LMB,US53263P1057,NASDAQ Stock Exchange Capital Market
LMCA.OQ,LMCA,,
LMCK.OQ,LMCK,,
LMIA.OQ,LMIA,,
LMND.N,LMND,US52567D1072,New York Stock Exchange
LMNR.OQ,LMNR,US5327461043,Nasdaq Stock Exchange Global Select Market
LMOS.OQ,LMOS,,
LMS.B,LMS,,
LMT.N,LMT,US5398301094,New York Stock Exchange
LNC.II,LNC,,
LNC.N,LNC,US5341871094,New York Stock Exchange
LNCE.O^C18,LNCE,US8335511049,Consolidated Issue Listed on Nasdaq Global Select Market
LNCR.O^H12,LNCR,US5327911005,Consolidated Issue Listed on Nasdaq Global Select Market
LNG,LNG,US16411R2085,New York Consolidated
LNKB.OQ,LNKB,US53578P1057,NASDAQ Stock Exchange Capital Market
LNKD.N,LNKD,,
LNN.N,LNN,US5355551061,New York Stock Exchange
LNSR.OQ,LNSR,US52634L1089,NASDAQ Stock Exchange Capital Market
LNT.O,LNT,US0188021085,Consolidated Issue Listed on Nasdaq Global Select Market
LNTH.OQ,LNTH,US5165441032,NASDAQ Stock Exchange Global Market
LNUXDE.INS,LNUXDE,,
LNWO.PK,LNWO,US80874P1093,USA Pink Sheets
LNY.B,LNY,,
LO.N,LO,,
LOB.N,LOB,US53803X1054,New York Stock Exchange
LOCK.N,LOCK,,
LOCO.OQ,LOCO,US2686031079,Nasdaq Stock Exchange Global Select Market
LOGM.OQ,LOGM,,
LOGN.S,LOGN,CH0025751329,SWX Europe PLC
LOJN.OQ,LOJN,,
LOPE.OQ,LOPE,US38526M1062,Nasdaq Stock Exchange Global Select Market
LOV.A,LOV,,
LOVE.OQ,LOVE,US54738L1098,NASDAQ Stock Exchange Global Market
LOW.N,LOW,US5486611073,New York Stock Exchange
LP40189075,LP40189075,US0669224778,Lipper
LP40189077,LP40189077,US0669225197,Lipper
LP40190665,XSVCX,US33766Y1001,Lipper
LPCN.OQ,LPCN,US53630X2036,NASDAQ Stock Exchange Capital Market
LPG.N,LPG,MHY2106R1100,New York Stock Exchange
LPLA.OQ,LPLA,US50212V1008,Nasdaq Stock Exchange Global Select Market
LPNT.OQ,LPNT,,
LPRO.OQ,LPRO,US68373J1043,NASDAQ Stock Exchange Global Market
LPSN.OQ,LPSN,US5381463091,Nasdaq Stock Exchange Global Select Market
LPS^A14,LPS,US52602E1029,New York Consolidated
LPT.N,LPT,,
LPT.N^B20,LPT,US5311721048,New York Stock Exchange
LPX.N,LPX,US5463471053,New York Stock Exchange
LQDA.OQ,LQDA,US53635D2027,NASDAQ Stock Exchange Capital Market
LQDT.OQ,LQDT,US53635B1070,Nasdaq Stock Exchange Global Select Market
LRCX.OQ,LRCX,US5128073062,Nasdaq Stock Exchange Global Select Market
LRMR.OQ,LRMR,US5171251003,NASDAQ Stock Exchange Global Market
LRN.N,LRN,US86333M1080,New York Stock Exchange
LRW.B,LRW,,
LSAK.O,LSAK,US64107N2062,Consolidated Issue Listed on Nasdaq Global Select Market
LSBG.OQ,LSBG,,
LSCC.OQ,LSCC,US5184151042,Nasdaq Stock Exchange Global Select Market
LSE.N,LSE,KYG5462C1069,New York Stock Exchange
LSF.A,LSF,US50736T1025,American Stock Exchange
LSI.O^E14,LSI,US5021611026,Consolidated Issue Listed on Nasdaq Global Select Market
LSTR.OQ,LSTR,US5150981018,Nasdaq Stock Exchange Global Select Market
LTBG.OQ,LTBG,,
LTBR.OQ,LTBR,US53224K3023,NASDAQ Stock Exchange Capital Market
LTC.N,LTC,US5021751020,New York Stock Exchange
LTH.N,LTH,US53190C1027,New York Stock Exchange
LTM.N,LTM,US51817R2058,New York Stock Exchange
LTR.II,LTR,,
LTS.B,LTS,,
LTXX.O,LTXX,,
LUCD.OQ,LUCD,US54948X1090,NASDAQ Stock Exchange Capital Market
LUFK.OQ,LUFK,,
LULU.OQ,LULU,US5500211090,Nasdaq Stock Exchange Global Select Market
LUM.B,LUM,,
LUMN.N,LUMN,US5502411037,New York Stock Exchange
LUNA.PK,LUNA,US5503511009,USA Pink Sheets
LUNG.OQ,LUNG,US7458481014,Nasdaq Stock Exchange Global Select Market
LUNR.OQ,LUNR,US46125A1007,NASDAQ Stock Exchange Global Market
LUV.II,LUV,,
LUV.N,LUV,US8447411088,New York Stock Exchange
LVB.B,LVB,,
LVB.N,LVB,,
LVLT.N,LVLT,,
LVNTA.O^C18,LVNTA,US53071M8560,Consolidated Issue Listed on Nasdaq Global Select Market
LVO.OQ,LVO,US53814X3008,NASDAQ Stock Exchange Capital Market
LVWR.N,LVWR,US53838J1051,New York Stock Exchange
LW.N,LW,US5132721045,New York Stock Exchange
LWAY.OQ,LWAY,US5319141090,NASDAQ Stock Exchange Global Market
LWSNF.INS,LWSNF,,
LXEO.OQ,LXEO,US52886X1072,NASDAQ Stock Exchange Global Market
LXFR.N,LXFR,GB00BNK03D49,New York Stock Exchange
LXFT.N,LXFT,,
LXK.N,LXK,,
LXP.N,LXP,US5290434084,New York Stock Exchange
LXRX.OQ,LXRX,US5288723027,NASDAQ Stock Exchange Capital Market
LXU.N,LXU,US5021601043,New York Stock Exchange
LYB.N,LYB,NL0009434992,New York Stock Exchange
LYEL.OQ,LYEL,US55083R2031,Nasdaq Stock Exchange Global Select Market
LYFT.OQ,LYFT,US55087P1049,Nasdaq Stock Exchange Global Select Market
LYTS.OQ,LYTS,US50216C1080,Nasdaq Stock Exchange Global Select Market
LYV.N,LYV,US5380341090,New York Stock Exchange
LZ.OQ,LZ,US52466B1035,Nasdaq Stock Exchange Global Select Market
LZB.N,LZB,US5053361078,New York Stock Exchange
LZM.N,LZM,IM00BLCY1J27,New York Stock Exchange
LZ^I11,LZ,US5492711040,New York Consolidated
M.N,M,US55616P1049,New York Stock Exchange
MA.N,MA,US57636Q1040,New York Stock Exchange
MAA.N,MAA,US59522J1034,New York Stock Exchange
MAC.N,MAC,US5543821012,New York Stock Exchange
MAFB.OQ,MAFB,,
MAGN.N,MAGN,US55939A1079,New York Stock Exchange
MAIN.N,MAIN,US56035L1044,New York Stock Exchange
MAKO.OQ,MAKO,,
MAMA.OQ,MAMA,US56146T1034,NASDAQ Stock Exchange Capital Market
MAN.N,MAN,US56418H1005,New York Stock Exchange
MANH.OQ,MANH,US5627501092,Nasdaq Stock Exchange Global Select Market
MANT.O^I22,MANT,US5645631046,Consolidated Issue Listed on Nasdaq Global Select Market
MAPS.OQ,MAPS,US92971A1097,Nasdaq Stock Exchange Global Select Market
MAQ.PH,MAQ,,
MAR.II,MAR,,
MAR.OQ,MAR,US5719032022,Nasdaq Stock Exchange Global Select Market
MARA.OQ,MARA,US5657881067,NASDAQ Stock Exchange Capital Market
MAS.II,MAS,,
MAS.N,MAS,US5745991068,New York Stock Exchange
MASI.OQ,MASI,US5747951003,Nasdaq Stock Exchange Global Select Market
MASS.OQ,MASS,US65443P1021,NASDAQ Stock Exchange Global Market
MAT.OQ,MAT,US5770811025,Nasdaq Stock Exchange Global Select Market
MATR.OQ,MATR,,
MATV.N,MATV,US8085411069,New York Stock Exchange
MATW.OQ,MATW,US5771281012,Nasdaq Stock Exchange Global Select Market
MATX.N,MATX,US57686G1058,New York Stock Exchange
MATX_W.N,MATX_W,,
MAX.N,MAX,US58450V1044,New York Stock Exchange
MAXY.OQ,MAXY,,
MAXYDE.INS,MAXYDE,,
MAZE.OQ,MAZE,US5787841007,NASDAQ Stock Exchange Global Market
MBC.N,MBC,US57638P1049,New York Stock Exchange
MBCN.OQ,MBCN,US5963042040,NASDAQ Stock Exchange Capital Market
MBFI.OQ,MBFI,,
MBHI.O,MBHI,,
MBI.II,MBI,,
MBI.N,MBI,US55262C1009,New York Stock Exchange
MBIN.OQ,MBIN,US58844R1086,NASDAQ Stock Exchange Capital Market
MBIO.OQ,MBIO,US62818Q3020,NASDAQ Stock Exchange Capital Market
MBLY.N,MBLY,US60741F1049,New York Stock Exchange
MBRG.OQ,MBRG,,
MBUU.OQ,MBUU,US56117J1007,NASDAQ Stock Exchange Global Market
MBVT.OQ,MBVT,,
MBWM.OQ,MBWM,US5873761044,Nasdaq Stock Exchange Global Select Market
MBX.OQ,MBX,US55287L1017,Nasdaq Stock Exchange Global Select Market
MC.N,MC,US60786M1053,New York Stock Exchange
MCB.N,MCB,US5917741044,New York Stock Exchange
MCBI.OQ,MCBI,,
MCBS.OQ,MCBS,US59165J1051,Nasdaq Stock Exchange Global Select Market
MCD.N,MCD,US5801351017,New York Stock Exchange
MCFT.OQ,MCFT,US57637H1032,NASDAQ Stock Exchange Global Market
MCGC.OQ,MCGC,,
MCHB.OQ,MCHB,US43785V1026,Nasdaq Stock Exchange Global Select Market
MCHP.OQ,MCHP,US5950171042,Nasdaq Stock Exchange Global Select Market
MCHX.OQ,MCHX,US56624R1086,Nasdaq Stock Exchange Global Select Market
MCK.II,MCK,,
MCK.N,MCK,US58155Q1031,New York Stock Exchange
MCO.II,MCO,,
MCO.N,MCO,US6153691059,New York Stock Exchange
MCRB.OQ,MCRB,US81750R2013,Nasdaq Stock Exchange Global Select Market
MCRI.OQ,MCRI,US6090271072,Nasdaq Stock Exchange Global Select Market
MCRL.OQ,MCRL,,
MCRN.N,MCRN,,
MCRS.O^I14,MCRS,US5949011002,Consolidated Issue Listed on Nasdaq Global Select Market
MCS.N,MCS,US5663301068,New York Stock Exchange
MCW.OQ,MCW,US60646V1052,Nasdaq Stock Exchange Global Select Market
MCY.N,MCY,US5894001008,New York Stock Exchange
MD.N,MD,US58502B1061,New York Stock Exchange
MDAS.OQ,MDAS,,
MDB.OQ,MDB,US60937P1066,NASDAQ Stock Exchange Global Market
MDC^D24,MDC^D24,US5526761086,New York Consolidated
MDGL.OQ,MDGL,US5588681057,Nasdaq Stock Exchange Global Select Market
MDLZ.OQ,MDLZ,US6092071058,Nasdaq Stock Exchange Global Select Market
MDP.II,MDP,,
MDP^L21,MDP^L21,US5894331017,New York Consolidated
MDRX.PK,MDRX,US01988P1084,USA Pink Sheets
MDT.N,MDT,IE00BTN1Y115,New York Stock Exchange
MDTH.O,MDTH,,
MDTL.O,MDTL,,
MDU.N,MDU,US5526901096,New York Stock Exchange
MDV.N,MDV,US60784B1017,New York Stock Exchange
MDVN.P,MDVN,,
MDWD.OQ,MDWD,IL0011316309,NASDAQ Stock Exchange Global Market
MDXG.OQ,MDXG,US6024961012,NASDAQ Stock Exchange Capital Market
MDZA.TO,MDZA,,
ME.N,ME,US90138Q3065,
MEA.A,MEA,,
MEAS.O,MEAS,,
MEAS.OQ,MEAS,,
MEC.N,MEC,US5786051079,New York Stock Exchange
MECA.O,MECA,,
MED.N,MED,US58470H1014,New York Stock Exchange
MEDP.OQ,MEDP,US58506Q1094,Nasdaq Stock Exchange Global Select Market
MEDW.OQ,MEDW,,
MEDXDE.INS,MEDXDE,,
MEET.OQ,MEET,,
MEE^F11,MEE,US5762061068,New York Consolidated
MEG.N,MEG,US6151111019,New York Stock Exchange
MEH.B,MEH,,
MEI.N,MEI,US5915202007,New York Stock Exchange
MELI.OQ,MELI,US58733R1023,Nasdaq Stock Exchange Global Select Market
MEND.O,MEND,,
MENT.O^C17,MENT,US5872001061,Consolidated Issue Listed on Nasdaq Global Select Market
MENTDE.INS,MENTDE,,
MERC.O,MERC,US5880561015,Consolidated Issue Listed on Nasdaq Global Select Market
MESG.OQ,MESG,,
MET.II,MET,US59156RAR93,
MET.N,MET,US59156R1086,New York Stock Exchange
META.OQ,META,US30303M1027,Nasdaq Stock Exchange Global Select Market
METC.OQ,METC,US75134P6007,Nasdaq Stock Exchange Global Select Market
METH.OQ,METH,,
METR.OQ,METR,,
MFA.N,MFA,US55272X6076,New York Stock Exchange
MFB.N,MFB,,
MFB.PH,MFB,,
