ric,ticker,isin,exchange_name,tracking_status,price_ingest_enabled,pit_fundamentals_enabled,pit_classification_enabled,allow_cuse_native_core,allow_cuse_fundamental_projection,allow_cuse_returns_projection,allow_cpar_core_target,allow_cpar_extended_target
AJG.N,AJG,US3635761097,New York Stock Exchange,active,1,1,1,1,0,0,1,1
AKAM.OQ,AKAM,US00971T1016,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
AKBA.OQ,AKBA,US00972D1054,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
AKCA.OQ,AKCA,,,active,1,1,1,1,0,0,1,1
AKR.N,AKR,US0042391096,New York Stock Exchange,active,1,1,1,1,0,0,1,1
AKRO.OQ^L25,AKRO,US00973Y1082,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
AKRX.OQ,AKRX,,,active,1,1,1,1,0,0,1,1
AKS^C20,AKS^C20,US0015471081,New York Consolidated,active,1,1,1,1,0,0,1,1
ALAB.OQ,ALAB,US04626A1034,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ALB.N,ALB,US0126531013,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ALCO.OQ,ALCO,US0162301040,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ALDX.OQ,ALDX,US01438T1060,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
ALEC.OQ,ALEC,US0144421072,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ALEX.N,ALEX,US0144911049,,active,1,1,1,1,0,0,1,1
ALFA.OQ,ALFA,,,active,1,1,1,1,0,0,1,1
ALG.N,ALG,US0113111076,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ALGM.OQ,ALGM,US01749D1054,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ALGN.OQ,ALGN,US0162551016,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ALGS.OQ,ALGS,US01626L2043,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
ALGT.OQ,ALGT,US01748X1028,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ALH.N,ALH,US01862Q1076,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ALHC.OQ,ALHC,US01625V1044,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ALIT.N,ALIT,US01626W1018,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ALJ.N,ALJ,,,active,1,1,1,1,0,0,1,1
ALJ.PH,ALJ,,,active,1,1,1,1,0,0,1,1
ALK.N,ALK,US0116591092,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ALKS.OQ,ALKS,IE00B56GVS15,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ALKT.OQ,ALKT,US01644J1088,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ALL.N,ALL,US0200021014,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ALLE.N,ALLE,IE00BFRT3W74,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ALLO.OQ,ALLO,US0197701065,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ALLY.N,ALLY,US02005N1000,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ALMS.OQ,ALMS,US0223071020,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ALMU.OQ,ALMU,US00776X1090,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
ALNC.OQ,ALNC,,,active,1,1,1,1,0,0,1,1
ALNT.OQ,ALNT,US0193301092,NASDAQ Stock Exchange Global Market,active,1,1,1,1,0,0,1,1
